Question,Industry,Control No.,Control Title,Control Description,Priority,References
"How do you manage information security risks associated with third-party services like payment gateways, cloud hosting providers, and marketing or analytics plugins?",E-commerce,5.2;5.21,Addressing information security within supplier agreements;Managing information security in the ICT supply chain,Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.;Processes and procedures shall be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.,High,"ISO 27001:2022 Annex A 5.2 – Addressing Information Security within Supplier Agreements: https://www.isms.online/iso-27001/annex-a/5-2-information-security-roles-responsibilities-2022/;ISO 27001:2022 Annex A 5.21 – Managing Information Security in the ICT Supply Chain: https://www.isms.online/iso-27001/annex-a/5-21-managing-information-security-ict-supply-chain-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 12);Payments Risk Management: Key Components and Best Practices: https://stripe.com/nz/resources/more/payments-risk-management-101-key-components-and-best-practices;Risk Management for Merchants in Payment Processing: https://www.clearlypayments.com/blog/risk-management-for-merchants-in-payment-processing/"
"What technical security controls are in place to protect your web servers and network from common threats like malware, hacking, and malicious web traffic?",E-commerce,8.7;8.8;8.9;8.2;8.21;8.22;8.23,Protection against malware;Management of technical vulnerabilities;Configuration management;Networks security;Security of network services;Segregation of networks;Web filtering,"Protection against malware shall be implemented and supported by appropriate user awareness.;Organizations shall assess and address technical vulnerabilities of systems in use.;Configurations of hardware, software, and networks shall be securely defined, monitored and reviewed.;Network devices and infrastructure must be secured, managed, and controlled to protect system information.;Security mechanisms and levels for network services must be identified, implemented, and monitored.;Groups of services, users, and systems shall be segregated in the network.;Access to external websites shall be managed to reduce exposure to malicious content.",High,"ISO 27002:2022 – Control 8.7 – Protection Against Malware: https://www.isms.online/iso-27002/control-8-7-protection-against-malware/;ISO 27002:2022 – Control 8.9 – Configuration Management: https://www.isms.online/iso-27002/control-8-9-configuration-management/;NCSC-SME-Guidance-0225.pdf (p.10), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Web Filtering);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Configuration Management), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Security), NCSC-SME-Guidance-0225.pdf (p.10);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Segmentation), national-cyber-risk-assessment-2022.pdf (p.26);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Services), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Technical Vulnerability Management);OWASP Top Ten – Web Application Security Risks 2025: https://owasp.org/www-project-top-ten/;Website Security Best Practices – CISA: https://www.cisa.gov/news-events/news/website-security"
"How do you use cryptography to protect customer credentials and sensitive data (e.g., payment tokens) both in transit and at rest?",E-commerce,8.24,Use of cryptography,"Rules for cryptographic controls (e.g., key management) shall be defined and implemented.",Medium,"Guide to Storage Encryption Technologies for End User Devices – NIST SP 800-111: https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-111.pdf;ISO 27001:2022 Annex A 8.24 – Use of Cryptography: https://www.isms.online/iso-27001/annex-a/8-24-use-of-cryptography-2022/;ISO 27002:2022 – Control 8.24 – Use of Cryptography: https://www.isms.online/iso-27002/control-8-24-use-of-cryptography/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NCSC-SME-Guidance-0225.pdf (p.10);PCI DSS v4.0 Resource Hub – Protect Cardholder Data: https://blog.pcisecuritystandards.org/pci-dss-v4-0-resource-hub"
"How do you ensure employees and contractors understand their security responsibilities, particularly when handling customer data or working remotely?",E-commerce,6.3;6.6;6.7,"Information security awareness, education and training;Confidentiality or non-disclosure agreements;Remote working","Personnel and relevant interested parties shall receive appropriate information security awareness, education, and training, including updates of the organization's policies and procedures relevant to their job function.;Confidentiality or NDA agreements shall be identified, documented, regularly reviewed, and signed by personnel and other interested parties.;Security measures shall be implemented when personnel are working remotely to protect information accessed, processed, or stored outside the organization’s premises.",High,"ISO 27001:2022 Annex A 6.3 – Information Security Awareness, Education & Training: https://www.isms.online/iso-27001/annex-a/6-3-information-security-awareness-education-training-2022/;ISO 27001:2022 Annex A 6.7 – Remote Working: https://www.isms.online/iso-27001/annex-a/6-7-remote-working-2022/;NCSC-SME-Guidance-0225.pdf (p.10), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NCSC-SME-Guidance-0225.pdf (p.13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC_NIS2_Guide.pdf (Section 5);Remote Work Security: 12 Best Practices for Employers: https://www.timedoctor.com/blog/remote-work-security/;Top 11 Essential Security Awareness Training Topics of 2025: https://keepnetlabs.com/blog/top-11-essential-security-awareness-training-topics-of-2024"
"How does your organization establish and maintain its information security governance framework, ensuring management approval, communication to staff, and regular reviews?",Finance,5.1,Acceptable use of information and other associated assets,"Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.",High,"FDIC FIL-47-2021: Updated FFIEC IT Examination Handbook: https://www.fdic.gov/news/financial-institution-letters/2021/fil21047.html;FFIEC Cybersecurity Awareness Resources: https://www.ffiec.gov/resources/cybersecurity-awareness;FFIEC IT Examination Handbook – Information Security Booklet: https://www.ffiec.gov/sites/default/files/media/press-releases/2016/2016-%20it-handbook-information-security-booklet.pdf;NCSC-SME-Guidance-0225.pdf (p.9), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIST SP 800-100 – Information Security Handbook for Managers: https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-100.pdf"
"How are information security roles, responsibilities, and segregation of duties defined and enforced within your organization, particularly for handling sensitive financial data and transactions?",Finance,5.2;5.3,Addressing information security within supplier agreements;ICT readiness for business continuity,"Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.;ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.",High,"COSO Internal Control – Integrated Framework (2013): https://www.coso.org/Documents/990025P-Executive-Summary-final-may20.pdf;FFIEC IT Handbook – Management Booklet (Responsibilities & SoD): https://ithandbook.ffiec.gov/it-booklets/management.aspx;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), national-cyber-risk-assessment-2022.pdf (p.26);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 12);Segregation of Duties in Financial Institutions: https://www.safepaas.com/articles/segregation-of-duties-in-financial-institutions/;Segregation of Duties: Examples of Roles, Duties & Violations: https://pathlock.com/learn/segregation-of-duties-examples-of-roles-duties-and-violations/"
"How does your firm manage the lifecycle of user identities and access rights to financial systems and data, from onboarding to termination?",Finance,5.15;5.16;5.18,Access control;Identity management;Access rights,"Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.;The full life cycle of identities shall be managed.;Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization’s topic-specific policy on and rules for access control.",High,"FFIEC Cybersecurity Resource Guide – Access Management: https://www.ffiec.gov/sites/default/files/media/press-releases/2022/2022-cybersecurity-resource-guide-ffiec.pdf;ISO 27001:2022 Annex A 5.15 & 5.16 Controls Explained: https://www.isms.online/iso-27001/annex-a/5-15-access-control-2022/;NIST Identity & Access Management Resource Center: https://www.nist.gov/identity-access-management;NIST SP 1800-2 – Access Rights Management for the Financial Services Sector: https://www.nccoe.nist.gov/publication/1800-2/VolB/index.html;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Access Rights), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management), NCSC-SME-Guidance-0225.pdf (p.11);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Access Control), NCSC_NIS2_Guide.pdf (Section 5)"
"What is your approach to identifying, classifying, and handling information assets, particularly customer financial data and intellectual property?",Finance,5.9;5.1;5.12;5.13,Inventory of information and other associated assets;Acceptable use of information and other associated assets;Classification of information;Labelling of information,"An inventory of information and other associated assets, including owners, shall be developed and maintained.;Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.;Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.;An appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.",High,"Data Classification Best Practices in Financial Services: https://www.techtarget.com/searchsecurity/tip/Data-classification-best-practices-in-financial-services;FIPS 199 – Standards for Security Categorization of Information: https://nvlpubs.nist.gov/nistpubs/fips/nist.fips.199.pdf;NCSC-SME-Guidance-0225.pdf (p.9), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIST NCCoE Project: Data Classification Practices: https://www.nccoe.nist.gov/data-classification;NIST SP 800-60 Vol. 1 Rev. 1 – Guide for Mapping Information Types: https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-60v1r1.pdf;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security);NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9, Appendix B - Identify, Asset Management)"
"How does your organization manage information security risks associated with third-party suppliers, from initial due diligence to ongoing monitoring?",Finance,5.19;5.2;5.21;5.22,"Information security in supplier relationships;Addressing information security within supplier agreements;Managing information security in the ICT supply chain;Monitoring, review and change management of supplier services","Processes and procedures shall be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.;Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.;Processes and procedures shall be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.;The organization shall regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery.",High,"CISA ICT Supply-Chain Risk Management Essentials: https://www.cisa.gov/information-and-communications-technology-supply-chain-risk-management;FFIEC Cybersecurity Resource Guide for Financial Institutions: https://www.ffiec.gov/sites/default/files/media/press-releases/2022/2022-cybersecurity-resource-guide-ffiec.pdf;FFIEC Guidance on Third-Party Risk Management: https://ithandbook.ffiec.gov/it-booklets/outsourcing-technology-services.aspx;ISO 27001:2022 Annex A 5.21 – Managing Information Security in the ICT Supply Chain: https://www.isms.online/iso-27001/annex-a/5-21-managing-information-security-ict-supply-chain-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Detect, Detection Processes), OJ_L_202500302_EN_TXT.pdf (Article 3);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 12);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk)"
"What is your firm's process for handling the full lifecycle of information security incidents, from initial detection and assessment to response and forensic evidence collection?",Finance,5.24;5.25;5.26;5.28,Information security incident management planning and preparation;Assessment and decision on information security events;Response to information security incidents;Collection of evidence,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;The organization shall assess information security events and decide if they are to be categorized as information security incidents.;Information security incidents shall be responded to in accordance with the documented procedures.;The organization shall establish and implement procedures for the identification, collection, acquisition and preservation of evidence related to information security events.",High,"FFIEC Cybersecurity Awareness – Incident Management Resources: https://www.ffiec.gov/resources/cybersecurity-awareness;FFIEC IT Handbook – Information Security (Incident Response): https://www.ffiec.gov/sites/default/files/media/press-releases/2016/2016-%20it-handbook-information-security-booklet.pdf;ISO 27001:2022 Annex A 5.24 – Incident Management Planning & Preparation: https://www.isms.online/iso-27001/annex-a/5-24-incident-management-planning-and-preparation-2022/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 20), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond);NIST SP 800-61 Rev. 3 – Computer Security Incident Handling Guide: https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r3.pdf;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond, Evidence Collection), OJ_L_202500302_EN_TXT.pdf (Article 4);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
"How do you ensure your organization identifies and complies with all legal, regulatory (e.g., GDPR, PCI-DSS), and contractual requirements related to information security and PII protection?",Finance,5.31;5.34,"Legal, statutory, regulatory and contractual requirements;Privacy and protection of personally identifiable information (PII)","Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.",Medium,"ISO 27001:2022 Annex A 5.31 – Legal & Regulatory Requirements: https://www.isms.online/iso-27001/annex-a/5-31-legal-statutory-regulatory-contractual-requirements-2022/;ISO 27001:2022 Annex A 5.34 – Privacy & PII Protection: https://www.isms.online/iso-27001/annex-a/5-34-privacy-and-protection-of-pii-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.5);PCI DSS – Data Security Standard (Official Site): https://www.pcisecuritystandards.org/standards/;UK FCA 2025 Resilience Guidance for Financial Firms: https://www.thetimes.co.uk/article/get-ready-for-your-own-crowdstrike-city-regulator-tells-firms-tp0t57pst"
"What measures are in place to manage the human resources aspect of security, including background screening, security clauses in contracts, and awareness training?",Finance,6.1;6.2;6.3,"Screening;Terms and conditions of employment;Information security awareness, education and training","Background verification checks on all candidates shall be carried out prior to joining the organization and on an ongoing basis, considering laws, regulations, business needs, and perceived risks.;The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.;Personnel and relevant interested parties shall receive appropriate information security awareness, education, and training, including updates of the organization's policies and procedures relevant to their job function.",High,"CISA Cybersecurity Training & Exercises: https://www.cisa.gov/cybersecurity-training-exercises;Financial Services Background Checks – A Complete Guide: https://iprospectcheck.com/financial-services-background-check-guide/;ISO 27001:2022 Annex A 6.1 – Screening: https://www.isms.online/iso-27001/annex-a/6-1-screening-2022/;ISO 27001:2022 Annex A 6.3 – Security Awareness, Education & Training: https://www.isms.online/iso-27001/annex-a/6-3-information-security-awareness-education-and-training-2022/;NCSC-SME-Guidance-0225.pdf (p.10), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14);NCSC_NIS2_Guide.pdf (Section 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, HR Security);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect)"
How does your organization manage sensitive data on physical storage media and ensure the secure disposal or re-use of equipment containing financial information?,Finance,7.1;7.14,Storage media;Secure disposal or re-use of equipment,"Managed through their life cycle: acquisition, use, transport, disposal based on classification and handling needs.;Sensitive data and licensed software must be verified as removed before disposal or reuse.",High,"Dead Media Beat: NIST Guidelines for Media Sterilization: https://www.wired.com/beyond-the-beyond/2015/10/dead-media-beat-nist-guidelines-media-sterilization;FFIEC IT Handbook – Operations Booklet (Media Disposal): https://ithandbook.ffiec.gov/it-booklets/architecture-infrastructure-and-operations.aspx;ISO 27002:2022 Control 7.14 – Secure Disposal or Re-Use of Equipment: https://www.isms.online/iso-27002/control-7-14-secure-disposal-or-re-use-of-equipment/;NIST SP 800-88 Rev. 1 – Guidelines for Media Sanitization: https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-88r1.pdf;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), OJ_L_202500302_EN_TXT.pdf (Article 1);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security), national-cyber-risk-assessment-2022.pdf (p.24)"
"What technical controls are implemented to restrict access to information, protect against malware, and manage system configurations securely?",Finance,8.3;8.7;8.9,Outsourced development;Protection against malware;Configuration management,"Outsourced development must be directed, monitored, and reviewed by the organization.;Protection against malware shall be implemented and supported by appropriate user awareness.;Configurations of hardware, software, and networks shall be securely defined, monitored and reviewed.",High,"CIS Critical Security Controls – Implementation Group IG3: https://www.cisecurity.org/controls;FFIEC Cybersecurity Resource Guide – Technical Controls: https://www.ffiec.gov/news/press-releases/2022/an-10-03;ISO 27002:2022 Control 8.7 – Protection Against Malware: https://www.isms.online/iso-27002/control-8-7-protection-against-malware/;NCSC-SME-Guidance-0225.pdf (p.10), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIST SP 800-83 Rev. 1 – Malware Incident Prevention & Handling: https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-83r1.pdf;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Configuration Management), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Segregation), OJ_L_202500302_EN_TXT.pdf (Annex I)"
"How are cryptographic controls, such as encryption and data masking, used to protect sensitive customer and transactional data both at rest and in transit?",Finance,8.11;8.24;8.12,Data masking;Use of cryptography;Data leakage prevention,"Data masking shall follow access control policies and business/legal requirements.;Rules for cryptographic controls (e.g., key management) shall be defined and implemented.;Data leakage prevention measures shall protect systems and networks handling sensitive data.",Medium,"ISO 27002:2022 Control 8.24 – Use of Cryptography: https://www.isms.online/iso-27002/control-8-24-use-of-cryptography/;NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NCSC-SME-Guidance-0225.pdf (p.10);NIST SP 800-111 – Guide to Storage Encryption Technologies: https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-111.pdf;NIST SP 800-175B Rev. 1 – Guideline for Using Cryptographic Standards: https://csrc.nist.gov/pubs/sp/800/175/b/r1/final;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Security), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Security), OJ_L_202500302_EN_TXT.pdf (Annex I Template);PCI DSS – Protect Cardholder Data Requirements: https://www.pcisecuritystandards.org/standards/pci_dss.shtml"
"What is your firm's strategy for data backup, disaster recovery, and ensuring ICT readiness for business continuity?",Finance,5.3;8.13,ICT readiness for business continuity;Information backup,"ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.;Backup of data and systems shall be maintained and tested regularly.",High,"FFIEC Annual Report 2020 – Pandemic Business Continuity Lessons: https://www.ffiec.gov/PDF/annrpt20.pdf;FFIEC IT Handbook – Business Continuity Management Booklet: https://ithandbook.ffiec.gov/it-booklets/business-continuity-management/;ISO 27002:2022 Control 5.29 – Information Security During Disruption: https://www.isms.online/iso-27002/control-5-29-information-security-during-disruption/;NCSC-SME-Guidance-0225.pdf (p.13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Backup);NIST SP 800-34 Rev. 1 – Contingency Planning Guide for Federal Information Systems: https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-34r1.pdf;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), national-cyber-risk-assessment-2022.pdf (p.26)"
"How do you ensure the security of the software development lifecycle, from writing secure code to separating development, testing, and production environments?",Finance,8.25;8.28;8.31;8.32,"Secure development life cycle;Secure coding;Separation of development, test and production environments;Change management","Secure development rules shall be established and applied for software and systems.;Secure coding principles shall be enforced.;Development, test, and production environments shall be separated and secured.;All changes to information systems shall follow a change management procedure.",High,"ISO 27002:2022 Control 8.25 – Secure Development Life Cycle: https://www.isms.online/iso-27002/control-8-25-secure-development-life-cycle/;NIST SP 800-218 – Secure Software Development Framework (SSDF): https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-218.pdf;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Change Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Secure Coding), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Secure SDLC), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Test Information), national-cyber-risk-assessment-2022.pdf (p.27);OWASP SAMM v2 – Software Assurance Maturity Model: https://owaspsamm.org/model;Secure Development Life Cycle Guidance for Financial Services (NIST NCCoE): https://www.nccoe.nist.gov/financial-services/secure-software-development"
"How does your company establish and enforce information security policies, and ensure management and all personnel, including on-site subcontractors, understand their responsibilities?",Construction,5.1;5.4,Acceptable use of information and other associated assets;Management responsibilities,"Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.;Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.",High,"Building cybersecurity in the construction industry: https://www.deloitte.com/ce/en/industries/industrial-construction/perspectives/ce-building-cybersecurity-in-the-construction-industry.html;ISO 27001 for the Construction Industry: https://www.isms.online/sectors/iso-27001-for-the-construction-industry/;ISO 27001:2022 A 5.1 Policies for Information Security: https://hightable.io/iso-27001-annex-a-5-1-policies/;ISO 27001:2022 Annex A 5.4 – Management Responsibilities: https://www.isms.online/iso-27001/annex-a/5-4-management-responsibilities-2022/;NCSC-SME-Guidance-0225.pdf (p.9), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect);NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10)"
"What measures are in place to secure your physical construction sites, including controlling entry, monitoring the premises, and protecting against theft or environmental damage?",Construction,7.1;7.2;7.4;7.5,Storage media;Physical entry;Physical security monitoring;Protecting against physical and environmental threats,"Managed through their life cycle: acquisition, use, transport, disposal based on classification and handling needs.;Secure areas shall be protected by appropriate entry controls and access points.;Premises shall be continuously monitored for unauthorized physical access.;Protection against threats such as natural disasters, intentional/unintentional damage shall be designed and implemented.",High,"Effective Construction Site Security Solutions: https://www.criticalts.com/articles/best-practices-for-protecting-equipment-and-workers-on-a-construction-site/;ISO 27001:2022 A 7.4 Physical security monitoring: https://preteshbiswas.com/2023/01/16/iso-27001-a-7-4-physical-security-monitoring/;ISO 27001:2022 Control 7.1 Physical Security Perimeters: https://iso-docs.com/blogs/iso-27001-2022-standard/iso-27001-2022-control-7-1-physical-security-perimeters-template;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), OJ_L_202500302_EN_TXT.pdf (Article 1);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Data Security), national-cyber-risk-assessment-2022.pdf (p.24);Top Strategies for Construction Site Security to Prevent Theft: https://www.lvt.com/blog/top-strategies-for-construction-site-security-to-prevent-theft;national-cyber-risk-assessment-2022.pdf (p.24), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13)"
"How do you protect valuable equipment, materials, and temporary site offices from unauthorized access, damage, or disruption to supporting utilities like power?",Construction,7.3;7.6;7.8;7.11;7.12,"Securing offices, rooms and facilities;Working in secure areas;Equipment siting and protection;Supporting utilities;Cabling security","Physical security for offices, rooms and facilities shall be designed and implemented.;Security measures for working in secure areas shall be designed and implemented.;Equipment shall be sited securely and protected.;Facilities protected from power failures and service disruptions.;Cables protected from interception, interference or damage.",Medium,"Construction Site Theft Prevention Tips for 2024: https://getsafeandsound.com/blog/construction-site-theft-prevention/;ISO 27001:2022 A 7.11 Supporting Utilities: https://preteshbiswas.com/2023/01/17/iso-270012022-a-7-11-supporting-utilities/;ISO 27001:2022 Annex A 7.8 – Equipment Siting and Protection: https://www.isms.online/iso-27001/annex-a/7-8-equipment-siting-protection-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Maintenance), national-cyber-risk-assessment-2022.pdf (p.27);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC_NIS2_Guide.pdf (Section 5);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), national-cyber-risk-assessment-2022.pdf (p.26);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protective Technology), NCSC-SME-Guidance-0225.pdf (p.13);Strategies to Prevent Construction Site Theft: https://blog.tenna.com/strategies-for-construction-site-theft-prevention;national-cyber-risk-assessment-2022.pdf (p.28), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect)"
"What is your process for managing security in relationships with third-party subcontractors, architects, and suppliers, especially regarding access to project data and site plans?",Construction,5.2,Addressing information security within supplier agreements,Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.,High,"Data Breaches, Cybersecurity, and the Construction Industry: https://www.constructconnect.com/blog/data-breaches-cyber-security-construction-industry;Hard Hats and Hackers: The Growing Cyber Threats in Construction: https://axaxl.com/fast-fast-forward/articles/hard-hats-and-hackers_the-growing-cyber-threats-in-construction;How To Implement ISO 27001 Control 5.20: https://cyberzoni.com/standards/iso-27001/control-5-20/;ISO 27001:2022 Annex A Control 5.20 – Addressing Information Security within Supplier Agreements: https://www.isms.online/iso-27001/annex-a/5-20-information-security-within-supplier-agreements-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Supply Chain Risk Management), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 12)"
"How do you manage user access to corporate and project management systems, and ensure that access is removed promptly when an employee or subcontractor leaves a project?",Construction,5.15;5.16,Access control;Identity management,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.;The full life cycle of identities shall be managed.,High,"Building Cybersecurity in the Construction Industry: https://www.deloitte.com/ce/en/industries/industrial-construction/perspectives/ce-building-cybersecurity-in-the-construction-industry.html;Cybersecurity Strategies for the Construction Industry: https://www.deltek.com/en/blog/construction-cybersecurity-strategies;ISO 27001:2022 Annex A 5.15 – Access Control: https://www.isms.online/iso-27001/annex-a/5-15-access-control-2022/;ISO 27001:2022 Annex A 5.16 – Identity Management: https://www.isms.online/iso-27001/annex-a/5-16-identity-management-2022/;NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management), NCSC-SME-Guidance-0225.pdf (p.11);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect, Access Control), NCSC_NIS2_Guide.pdf (Section 5)"
